filename	scene_label	X	X
audio/airport-lisbon-0-0-a.wav	airport	X	X
audio/bus-lyon-1-1-a.wav	bus	X	X
audio/shopping_mall-lisbon-2-2-a.wav	shopping_mall	X	X
audio/street_pedestrian-lyon-3-3-a.wav	street_pedestrian	X	X
audio/street_pedestrian-lisbon-4-4-a.wav	street_pedestrian	X	X
audio/street_traffic-prague-6-6-a.wav	street_traffic	X	X
audio/metro_station-lisbon-7-7-a.wav	metro_station	X	X
audio/street_traffic-lisbon-8-8-a.wav	street_traffic	X	X
audio/shopping_mall-prague-9-9-a.wav	shopping_mall	X	X
audio/metro_station-lyon-10-10-a.wav	metro_station	X	X
audio/metro_station-lisbon-7-11-a.wav	metro_station	X	X
audio/street_pedestrian-lyon-3-12-a.wav	street_pedestrian	X	X
audio/park-lyon-12-14-a.wav	park	X	X
audio/bus-lisbon-13-15-a.wav	bus	X	X
audio/shopping_mall-prague-9-16-a.wav	shopping_mall	X	X
audio/airport-prague-15-19-a.wav	airport	X	X
audio/metro-prague-16-20-a.wav	metro	X	X
audio/public_square-lyon-17-21-a.wav	public_square	X	X
audio/metro_station-prague-19-23-a.wav	metro_station	X	X
audio/metro_station-lisbon-20-24-a.wav	metro_station	X	X
audio/metro_station-lisbon-21-25-a.wav	metro_station	X	X
audio/metro-prague-22-26-a.wav	metro	X	X
audio/airport-prague-23-27-a.wav	airport	X	X
audio/public_square-lyon-24-28-a.wav	public_square	X	X
audio/metro-prague-26-30-a.wav	metro	X	X
audio/public_square-prague-27-31-a.wav	public_square	X	X
audio/metro_station-lyon-28-32-a.wav	metro_station	X	X
audio/street_traffic-lyon-29-33-a.wav	street_traffic	X	X
audio/bus-prague-30-34-a.wav	bus	X	X
audio/shopping_mall-prague-31-35-a.wav	shopping_mall	X	X
audio/bus-prague-32-36-a.wav	bus	X	X
audio/street_traffic-lisbon-8-37-a.wav	street_traffic	X	X
audio/airport-prague-23-38-a.wav	airport	X	X
audio/street_pedestrian-lisbon-4-39-a.wav	street_pedestrian	X	X
audio/street_traffic-prague-33-40-a.wav	street_traffic	X	X
audio/airport-prague-34-41-a.wav	airport	X	X
